Category,precision,recall,f1-score,support
Unknown-2090,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,960.00 ± 1040.67
Unknown-2091,0.00,0.00,0.00,100.00
Unknown-2092,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,60.00 ± 89.44
Unknown-2093,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 327.11
Unknown-2094,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 81.65
Unknown-2095,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,80.00 ± 83.67
Unknown-2096,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 264.58
Unknown-2097,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,33.33 ± 57.74
Unknown-2100,70.00 ± 42.43,83.33 ± 23.57,75.00 ± 35.36,200.00 ± 141.42
Unknown-2101,30.00 ± 44.72,24.00 ± 43.36,20.00 ± 29.81,180.00 ± 192.35
Unknown-2102,51.36 ± 13.90,48.59 ± 9.93,49.44 ± 10.22,1360.00 ± 296.65
Unknown-2104,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 173.21
Unknown-2105,12.00 ± 17.89,40.00 ± 54.77,18.10 ± 26.17,240.00 ± 114.02
Unknown-2106,22.15 ± 22.95,25.00 ± 25.00,23.42 ± 23.80,840.00 ± 801.87
Unknown-2107,3.12 ± 6.25,6.25 ± 12.50,4.17 ± 8.33,250.00 ± 191.49
Unknown-2109,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 100.00
Unknown-2110,4.29 ± 6.39,5.63 ± 8.47,4.87 ± 7.28,980.00 ± 668.58
Unknown-2111,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 173.21
Unknown-2112,21.67 ± 27.39,28.00 ± 25.88,21.67 ± 21.73,360.00 ± 288.10
Unknown-2113,29.34 ± 28.50,28.33 ± 31.94,28.22 ± 29.95,2340.00 ± 3147.70
Unknown-2115,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 114.02
Unknown-2117,45.00 ± 44.72,45.00 ± 44.72,41.67 ± 38.19,200.00 ± 187.08
Unknown-2118,10.00 ± 14.14,20.00 ± 27.39,13.21 ± 18.37,220.00 ± 216.79
Unknown-2121,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 50.00
Unknown-2122,3.33 ± 4.71,12.50 ± 17.68,5.26 ± 7.44,300.00 ± 141.42
Unknown-2123,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,266.67 ± 288.68
Unknown-2124,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,860.00 ± 983.87
Unknown-2126,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,233.33 ± 57.74
Unknown-2127,18.00 ± 20.49,18.33 ± 17.08,16.67 ± 15.59,260.00 ± 114.02
Unknown-2128,34.88 ± 38.73,33.00 ± 38.67,24.97 ± 18.17,340.00 ± 181.66
Unknown-2132,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,240.00 ± 270.19
Unknown-2133,4.76 ± 8.25,5.56 ± 9.62,5.13 ± 8.88,533.33 ± 585.95
Unknown-2134,1.56 ± 3.12,4.17 ± 8.33,2.27 ± 4.55,400.00 ± 424.26
Unknown-2136,37.50 ± 47.87,18.75 ± 23.94,22.50 ± 26.30,175.00 ± 170.78
Unknown-2139,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 294.96
Unknown-2140,22.12 ± 21.84,21.67 ± 30.96,17.44 ± 17.30,320.00 ± 303.32
Unknown-2141,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,280.00 ± 130.38
Unknown-2143,21.25 ± 28.39,23.33 ± 29.06,22.14 ± 28.61,325.00 ± 125.83
Unknown-2144,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-2145,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 206.16
Unknown-2146,2.00 ± 4.47,2.86 ± 6.39,2.35 ± 5.26,420.00 ± 277.49
Unknown-2147,8.33 ± 16.67,12.50 ± 25.00,10.00 ± 20.00,125.00 ± 50.00
Unknown-2151,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 57.74
Unknown-2152,6.67 ± 14.91,20.00 ± 44.72,10.00 ± 22.36,240.00 ± 194.94
Unknown-2153,18.75 ± 37.50,25.00 ± 50.00,21.43 ± 42.86,200.00 ± 244.95
Unknown-2155,18.48 ± 22.28,16.38 ± 15.70,14.73 ± 14.86,580.00 ± 327.11
Unknown-2156,18.75 ± 14.23,21.96 ± 17.63,19.93 ± 15.40,525.00 ± 125.83
Unknown-2157,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 100.00
Unknown-2158,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 158.11
Unknown-2159,28.20 ± 21.76,38.27 ± 37.16,26.18 ± 15.78,1220.00 ± 1084.90
Unknown-2161,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,25.00 ± 50.00
Unknown-2162,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,225.00 ± 221.74
Unknown-2163,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,240.00 ± 134.16
Unknown-2164,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,280.00 ± 460.43
Unknown-2165,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 81.65
Unknown-2166,47.86 ± 31.37,55.64 ± 40.83,50.24 ± 33.25,820.00 ± 983.36
Unknown-2167,0.00,0.00,0.00,100.00
