Category,precision,recall,f1-score,support
Unknown-106,10.09 ± 10.06,14.89 ± 15.43,11.94 ± 11.98,1460.00 ± 568.33
Unknown-107,11.62 ± 10.75,8.25 ± 7.92,9.59 ± 8.99,1380.00 ± 396.23
Unknown-108,22.33 ± 22.44,19.88 ± 21.06,21.00 ± 21.69,2160.00 ± 1628.80
Unknown-109,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1660.00 ± 304.96
Unknown-110,17.62 ± 12.16,19.65 ± 14.92,18.50 ± 13.34,5320.00 ± 1382.75
Unknown-111,49.15 ± 8.43,50.75 ± 9.33,49.91 ± 8.74,7440.00 ± 1818.79
Unknown-112,50.40 ± 8.89,47.70 ± 10.36,48.90 ± 9.36,3700.00 ± 1772.00
Unknown-113,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 230.22
Unknown-114,21.33 ± 14.88,26.57 ± 20.04,23.41 ± 16.76,580.00 ± 294.96
Unknown-115,14.35 ± 5.20,15.46 ± 7.62,14.39 ± 4.85,1840.00 ± 654.22
Unknown-116,20.00 ± 44.72,6.67 ± 14.91,10.00 ± 22.36,160.00 ± 114.02
Unknown-117,42.56 ± 23.91,44.36 ± 25.31,43.30 ± 24.36,31160.00 ± 4368.98
Unknown-118,9.71 ± 13.64,14.67 ± 20.22,11.67 ± 16.24,260.00 ± 270.19
Unknown-119,18.10 ± 16.60,21.02 ± 19.22,19.45 ± 17.81,9600.00 ± 1776.23
Unknown-120,73.76 ± 2.56,45.54 ± 1.35,56.30 ± 1.69,70240.00 ± 1190.80
Unknown-121,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1000.00 ± 463.68
Unknown-122,25.56 ± 30.83,21.71 ± 24.79,21.77 ± 24.55,400.00 ± 264.58
Unknown-123,20.39 ± 28.10,19.99 ± 27.38,20.13 ± 27.60,9160.00 ± 2294.12
Unknown-124,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,3100.00 ± 1869.49
Unknown-125,25.86 ± 6.59,27.61 ± 5.83,26.47 ± 5.39,2260.00 ± 1154.56
Unknown-126,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 114.02
Unknown-127,8.44 ± 8.52,9.71 ± 9.17,8.69 ± 8.07,840.00 ± 439.32
Unknown-128,13.33 ± 18.26,15.00 ± 22.36,13.71 ± 19.21,280.00 ± 83.67
Unknown-129,17.98 ± 7.66,22.78 ± 9.55,19.82 ± 8.23,780.00 ± 109.54
