Category,precision,recall,f1-score,support
Unknown-1642,28.33 ± 30.96,37.00 ± 42.95,29.05 ± 29.76,200.00 ± 234.52
Unknown-1643,2.86 ± 6.39,2.00 ± 4.47,2.35 ± 5.26,600.00 ± 291.55
Unknown-1644,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,160.00 ± 114.02
Unknown-1645,20.98 ± 14.01,25.43 ± 15.21,22.53 ± 13.75,1240.00 ± 887.69
Unknown-1647,20.79 ± 16.19,12.69 ± 7.63,15.08 ± 9.58,1000.00 ± 578.79
Unknown-1648,1.18 ± 2.63,6.67 ± 14.91,2.00 ± 4.47,340.00 ± 320.94
Unknown-1649,5.36 ± 7.36,4.17 ± 5.89,4.61 ± 6.34,700.00 ± 435.89
Unknown-1650,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 167.33
Unknown-1651,26.22 ± 25.70,25.55 ± 24.27,25.77 ± 24.79,1480.00 ± 1314.15
Unknown-1652,8.00 ± 17.89,13.33 ± 29.81,10.00 ± 22.36,520.00 ± 286.36
Unknown-1653,5.00 ± 11.18,10.00 ± 22.36,6.67 ± 14.91,140.00 ± 167.33
Unknown-1654,18.12 ± 14.59,25.52 ± 19.09,21.00 ± 16.33,720.00 ± 192.35
Unknown-1655,48.81 ± 19.74,50.07 ± 19.06,48.43 ± 17.78,1640.00 ± 350.71
Unknown-1657,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-1658,30.99 ± 6.62,44.60 ± 6.98,36.32 ± 5.99,1240.00 ± 270.19
Unknown-1659,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,340.00 ± 270.19
Unknown-1660,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 270.80
Unknown-1661,60.94 ± 45.29,52.83 ± 45.05,55.26 ± 44.30,960.00 ± 1141.49
Unknown-1662,37.45 ± 17.45,26.54 ± 8.46,29.40 ± 9.76,1300.00 ± 578.79
Unknown-1663,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,600.00 ± 367.42
Unknown-1665,14.17 ± 19.45,24.00 ± 43.36,15.91 ± 24.16,360.00 ± 378.15
Unknown-1667,6.67 ± 14.91,4.00 ± 8.94,5.00 ± 11.18,240.00 ± 194.94
Unknown-1668,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 129.10
Unknown-1670,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-1672,16.97 ± 20.42,15.24 ± 15.58,15.52 ± 16.78,420.00 ± 342.05
Unknown-1673,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 50.00
Unknown-1674,42.33 ± 40.34,52.67 ± 39.19,40.88 ± 30.01,240.00 ± 167.33
Unknown-1675,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 50.00
Unknown-1677,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 141.42
Unknown-1678,13.00 ± 18.57,8.33 ± 11.79,10.15 ± 14.42,720.00 ± 540.37
Unknown-1679,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 204.94
Unknown-1682,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,240.00 ± 89.44
Unknown-1683,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,33.33 ± 57.74
Unknown-1684,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,540.00 ± 378.15
