Category,precision,recall,f1-score,support
Unknown-101,1.60 ± 3.58,1.54 ± 3.44,1.57 ± 3.51,1480.00 ± 798.12
Unknown-102,36.19 ± 2.48,36.95 ± 9.11,36.30 ± 5.37,4240.00 ± 2056.21
Unknown-103,43.14 ± 24.50,41.93 ± 22.28,42.09 ± 23.25,1720.00 ± 683.37
Unknown-104,2.86 ± 6.39,2.86 ± 6.39,2.86 ± 6.39,540.00 ± 114.02
Unknown-105,12.38 ± 7.07,13.08 ± 7.95,12.68 ± 7.42,5360.00 ± 1006.48
Unknown-106,9.75 ± 10.07,16.22 ± 15.55,12.03 ± 11.98,1460.00 ± 568.33
Unknown-107,9.82 ± 10.44,6.93 ± 7.57,8.06 ± 8.63,1380.00 ± 396.23
Unknown-108,22.33 ± 22.44,19.88 ± 21.06,21.00 ± 21.69,2160.00 ± 1628.80
Unknown-109,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1660.00 ± 304.96
Unknown-110,21.78 ± 7.16,23.71 ± 10.28,22.61 ± 8.51,5320.00 ± 1382.75
Unknown-111,48.99 ± 8.60,50.75 ± 9.33,49.82 ± 8.81,7440.00 ± 1818.79
Unknown-112,50.87 ± 8.59,47.70 ± 10.36,49.12 ± 9.23,3700.00 ± 1772.00
Unknown-113,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 230.22
Unknown-114,21.33 ± 14.88,26.57 ± 20.04,23.41 ± 16.76,580.00 ± 294.96
Unknown-115,14.35 ± 5.20,15.46 ± 7.62,14.39 ± 4.85,1840.00 ± 654.22
Unknown-116,20.00 ± 44.72,6.67 ± 14.91,10.00 ± 22.36,160.00 ± 114.02
Unknown-117,42.57 ± 23.92,43.94 ± 25.02,43.12 ± 24.23,31160.00 ± 4368.98
Unknown-118,8.95 ± 10.47,23.33 ± 29.06,12.50 ± 14.43,325.00 ± 263.00
Unknown-119,26.57 ± 15.84,31.10 ± 18.66,28.65 ± 17.13,9600.00 ± 1776.23
Unknown-120,59.19 ± 33.18,36.36 ± 20.37,45.04 ± 25.24,70240.00 ± 1190.80
Unknown-121,8.79 ± 12.60,14.17 ± 19.45,10.76 ± 15.10,1000.00 ± 463.68
Unknown-122,25.56 ± 30.83,21.71 ± 24.79,21.77 ± 24.55,400.00 ± 264.58
Unknown-123,53.28 ± 6.29,52.18 ± 3.78,52.65 ± 4.66,9160.00 ± 2294.12
Unknown-124,27.67 ± 26.62,31.40 ± 29.23,29.35 ± 27.75,3100.00 ± 1869.49
Unknown-125,25.86 ± 6.59,27.61 ± 5.83,26.47 ± 5.39,2260.00 ± 1154.56
Unknown-126,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 114.02
Unknown-127,8.44 ± 8.52,9.71 ± 9.17,8.69 ± 8.07,840.00 ± 439.32
Unknown-128,6.67 ± 14.91,5.00 ± 11.18,5.71 ± 12.78,280.00 ± 83.67
Unknown-129,17.98 ± 7.66,22.78 ± 9.55,19.82 ± 8.23,780.00 ± 109.54
Unknown-130,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-131,22.82 ± 22.10,25.76 ± 24.29,23.92 ± 22.53,880.00 ± 465.83
Unknown-132,7.26 ± 7.44,13.89 ± 14.96,8.71 ± 8.63,500.00 ± 234.52
Unknown-133,2.50 ± 5.59,2.86 ± 6.39,2.67 ± 5.96,780.00 ± 420.71
Unknown-134,3.75 ± 8.39,5.45 ± 12.20,4.44 ± 9.94,620.00 ± 349.28
Unknown-135,28.33 ± 13.17,28.75 ± 12.78,28.52 ± 12.97,5660.00 ± 753.66
