engine,state,task,granularity,level,metric,seed,value
hgi,florida,cat,poi,L1,top3_acc,0,0.9375
hgi,florida,cat,poi,L1,ndcg_3,0,0.8335626125335693
hgi,florida,cat,poi,L1,top5_acc,0,0.9881250262260437
hgi,florida,cat,poi,L1,ndcg_5,0,0.8546425104141235
hgi,florida,cat,poi,L1,train_acc,0,0.6865073442459106
hgi,florida,cat,poi,L1,test_class_coverage,0,1.0
hgi,florida,cat,poi,L0,knn10_acc,1,0.753625
hgi,florida,cat,poi,L0,knn10_macro_f1,1,0.7276372787809376
hgi,florida,cat,poi,L0,silhouette,1,0.0007432628190144897
hgi,florida,cat,poi,L0,cohesion,1,0.3337617814540863
hgi,florida,cat,poi,L0,centroid_inter_sim,1,0.2323860377073288
hgi,florida,cat,poi,L0,sep_ratio,1,1.4362385311394308
hgi,florida,cat,poi,L1,accuracy,1,0.668874979019165
hgi,florida,cat,poi,L1,accuracy_macro,1,0.6049503684043884
hgi,florida,cat,poi,L1,f1,1,0.6202367544174194
hgi,florida,cat,poi,L1,f1_weighted,1,0.6660230755805969
hgi,florida,cat,poi,L1,mrr,1,0.80546635389328
hgi,florida,cat,poi,L1,top3_acc,1,0.9361249804496765
hgi,florida,cat,poi,L1,ndcg_3,1,0.8288005590438843
hgi,florida,cat,poi,L1,top5_acc,1,0.9881250262260437
hgi,florida,cat,poi,L1,ndcg_5,1,0.8504124283790588
hgi,florida,cat,poi,L1,train_acc,1,0.6854044198989868
hgi,florida,cat,poi,L1,test_class_coverage,1,1.0
hgi,florida,cat,poi,L0,knn10_acc,2,0.775875
hgi,florida,cat,poi,L0,knn10_macro_f1,2,0.7589213476231008
hgi,florida,cat,poi,L0,silhouette,2,0.004528296645730734
hgi,florida,cat,poi,L0,cohesion,2,0.3343223035335541
hgi,florida,cat,poi,L0,centroid_inter_sim,2,0.22077378630638123
hgi,florida,cat,poi,L0,sep_ratio,2,1.5143206497785686
hgi,florida,cat,poi,L1,accuracy,2,0.6899999976158142
hgi,florida,cat,poi,L1,accuracy_macro,2,0.6293048858642578
hgi,florida,cat,poi,L1,f1,2,0.648266077041626
hgi,florida,cat,poi,L1,f1_weighted,2,0.6876347064971924
hgi,florida,cat,poi,L1,mrr,2,0.8181051015853882
hgi,florida,cat,poi,L1,top3_acc,2,0.9423750042915344
hgi,florida,cat,poi,L1,ndcg_3,2,0.8409005403518677
hgi,florida,cat,poi,L1,top5_acc,2,0.9886249899864197
hgi,florida,cat,poi,L1,ndcg_5,2,0.8600688576698303
hgi,florida,cat,poi,L1,train_acc,2,0.6809191107749939
hgi,florida,cat,poi,L1,test_class_coverage,2,1.0
hgi,florida,cat,poi,L0,knn10_acc,3,0.761125
hgi,florida,cat,poi,L0,knn10_macro_f1,3,0.7401999625487424
hgi,florida,cat,poi,L0,silhouette,3,0.002298943931236863
hgi,florida,cat,poi,L0,cohesion,3,0.33627453446388245
hgi,florida,cat,poi,L0,centroid_inter_sim,3,0.22051602602005005
hgi,florida,cat,poi,L0,sep_ratio,3,1.5249437446025227
hgi,florida,cat,poi,L1,accuracy,3,0.6758750081062317
hgi,florida,cat,poi,L1,accuracy_macro,3,0.614179790019989
