Category,precision,recall,f1-score,support
Unknown-634,19.44 ± 21.56,12.96 ± 18.11,12.89 ± 15.07,1000.00 ± 648.07
Unknown-635,20.50 ± 8.15,25.69 ± 10.68,21.77 ± 7.96,1780.00 ± 622.09
Unknown-636,16.67 ± 23.57,4.86 ± 6.82,7.52 ± 10.58,840.00 ± 194.94
Unknown-637,0.00,0.00,0.00,100.00
Unknown-639,18.32 ± 18.17,48.00 ± 50.20,24.27 ± 22.75,320.00 ± 216.79
Unknown-641,5.71 ± 7.82,11.67 ± 16.24,7.64 ± 10.48,260.00 ± 114.02
Unknown-643,21.24 ± 20.80,22.72 ± 21.47,21.89 ± 21.03,1800.00 ± 1857.42
Unknown-645,26.17 ± 10.83,31.67 ± 20.75,27.30 ± 13.43,500.00 ± 141.42
Unknown-646,23.75 ± 20.56,50.00 ± 43.03,27.42 ± 18.48,225.00 ± 95.74
Unknown-647,19.83 ± 18.35,17.89 ± 12.84,16.59 ± 10.73,720.00 ± 549.55
Unknown-648,27.94 ± 5.39,29.58 ± 10.17,28.58 ± 7.56,5360.00 ± 2522.50
Unknown-649,49.80 ± 4.49,51.27 ± 6.63,50.46 ± 5.25,10420.00 ± 3114.00
Unknown-650,22.09 ± 11.01,20.95 ± 10.86,21.48 ± 10.95,2940.00 ± 1178.13
Unknown-651,37.38 ± 13.07,36.78 ± 9.62,36.99 ± 11.31,4260.00 ± 1900.79
Unknown-652,53.27 ± 16.00,56.99 ± 14.74,54.72 ± 15.07,2640.00 ± 740.27
Unknown-653,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1280.00 ± 637.97
Unknown-654,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,240.00 ± 114.02
Unknown-655,52.22 ± 12.75,54.16 ± 13.89,53.17 ± 13.29,10300.00 ± 3130.50
Unknown-656,23.00 ± 16.97,43.79 ± 21.11,26.64 ± 15.22,540.00 ± 336.15
Unknown-657,31.97 ± 21.18,34.46 ± 12.62,32.40 ± 16.62,1360.00 ± 944.99
Unknown-658,22.67 ± 13.16,19.37 ± 11.55,20.82 ± 12.19,960.00 ± 512.84
Unknown-659,26.79 ± 23.60,30.63 ± 28.89,28.51 ± 26.03,475.00 ± 340.34
Unknown-660,28.79 ± 17.87,48.83 ± 11.48,35.08 ± 15.96,680.00 ± 216.79
Unknown-661,25.00 ± 50.00,5.00 ± 10.00,8.33 ± 16.67,425.00 ± 287.23
Unknown-663,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 158.11
Unknown-664,25.00 ± 50.00,8.33 ± 16.67,12.50 ± 25.00,150.00 ± 100.00
Unknown-665,0.00,0.00,0.00,200.00
Unknown-666,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-667,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,280.00 ± 204.94
Unknown-668,50.00 ± 70.71,50.00 ± 70.71,50.00 ± 70.71,100.00 ± 0.00
Unknown-670,20.75 ± 8.84,33.37 ± 16.58,24.92 ± 10.54,900.00 ± 556.78
Unknown-671,20.41 ± 13.81,19.99 ± 9.89,19.72 ± 11.79,1800.00 ± 1189.54
