Category,precision,recall,f1-score,support
Unknown-3214,15.00 ± 22.36,30.00 ± 44.72,18.00 ± 24.90,120.00 ± 83.67
Unknown-3215,50.00 ± 50.00,21.67 ± 21.73,28.00 ± 25.88,220.00 ± 130.38
Unknown-3216,10.00 ± 22.36,20.00 ± 44.72,13.33 ± 29.81,160.00 ± 89.44
Unknown-3218,50.00 ± 50.00,66.67 ± 57.74,55.56 ± 50.92,66.67 ± 57.74
Unknown-3219,27.00 ± 38.99,35.45 ± 49.21,29.52 ± 40.74,540.00 ± 934.34
Unknown-3220,2.50 ± 5.00,25.00 ± 50.00,4.55 ± 9.09,100.00 ± 81.65
Unknown-3221,5.00 ± 10.00,6.25 ± 12.50,5.56 ± 11.11,225.00 ± 206.16
Unknown-3224,25.00 ± 50.00,25.00 ± 50.00,25.00 ± 50.00,200.00 ± 182.57
Unknown-3226,0.00,0.00,0.00,100.00
Unknown-3227,16.92 ± 23.80,25.00 ± 35.36,19.47 ± 26.68,300.00 ± 509.90
Unknown-3228,16.67 ± 28.87,33.33 ± 57.74,22.22 ± 38.49,200.00 ± 173.21
Unknown-3229,43.06 ± 51.43,47.06 ± 50.26,44.72 ± 50.83,633.33 ± 923.76
Unknown-3231,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-3232,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 236.29
Unknown-3233,35.00 ± 31.36,51.25 ± 46.61,41.01 ± 36.92,300.00 ± 216.02
Unknown-3234,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 95.74
Unknown-3235,0.00,0.00,0.00,200.00
Unknown-3236,8.33 ± 16.67,12.50 ± 25.00,10.00 ± 20.00,75.00 ± 95.74
Unknown-3237,20.00 ± 27.39,20.00 ± 27.39,20.00 ± 27.39,120.00 ± 83.67
Unknown-3242,0.00,0.00,0.00,200.00
Unknown-3243,33.33 ± 47.14,33.33 ± 47.14,25.00 ± 28.87,100.00 ± 141.42
Unknown-3245,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 122.47
Unknown-3248,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-3249,10.67 ± 15.35,13.33 ± 21.73,11.64 ± 17.70,440.00 ± 260.77
Unknown-3251,33.33 ± 57.74,16.67 ± 28.87,22.22 ± 38.49,200.00 ± 200.00
Unknown-3252,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,33.33 ± 57.74
Unknown-3255,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 270.80
Unknown-3256,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 115.47
Unknown-3257,12.50 ± 25.00,12.50 ± 25.00,12.50 ± 25.00,100.00 ± 115.47
Unknown-3258,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 100.00
Unknown-3259,6.67 ± 9.13,30.00 ± 44.72,10.71 ± 14.73,100.00 ± 70.71
Unknown-3261,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-3263,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
Unknown-3264,25.00 ± 50.00,12.50 ± 25.00,16.67 ± 33.33,75.00 ± 95.74
Unknown-3265,5.00 ± 11.18,20.00 ± 44.72,8.00 ± 17.89,120.00 ± 130.38
Unknown-3267,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 57.74
Unknown-3270,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 100.00
Unknown-3272,33.33 ± 57.74,33.33 ± 57.74,33.33 ± 57.74,66.67 ± 57.74
Unknown-3273,18.00 ± 24.90,12.55 ± 17.24,14.68 ± 20.10,640.00 ± 634.82
Unknown-3277,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 516.72
Unknown-3278,8.33 ± 16.67,10.71 ± 21.43,9.38 ± 18.75,250.00 ± 310.91
Unknown-3279,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-3281,25.00 ± 50.00,6.25 ± 12.50,10.00 ± 20.00,175.00 ± 170.78
Unknown-3283,20.00 ± 44.72,10.00 ± 22.36,13.33 ± 29.81,140.00 ± 89.44
Unknown-3285,4.00 ± 8.94,2.22 ± 4.97,2.86 ± 6.39,240.00 ± 371.48
Unknown-3286,6.25 ± 12.50,12.50 ± 25.00,8.33 ± 16.67,125.00 ± 50.00
Unknown-3287,0.00,0.00,0.00,100.00
Unknown-3288,8.33 ± 11.79,16.67 ± 23.57,10.71 ± 14.73,280.00 ± 130.38
Unknown-3293,6.67 ± 11.55,33.33 ± 57.74,11.11 ± 19.25,100.00 ± 0.00
Unknown-3296,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-3299,58.33 ± 11.79,83.33 ± 23.57,66.67 ± 0.00,350.00 ± 70.71
Unknown-3300,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 57.74
Unknown-3302,0.00,0.00,0.00,100.00
Unknown-3304,7.75 ± 14.10,23.00 ± 31.94,10.89 ± 18.76,500.00 ± 842.61
Unknown-3305,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-3306,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-3307,20.00 ± 44.72,20.00 ± 44.72,20.00 ± 44.72,180.00 ± 130.38
Unknown-3310,8.00 ± 17.89,6.67 ± 14.91,7.27 ± 16.26,280.00 ± 216.79
Unknown-3311,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
Unknown-3314,3.70 ± 6.42,33.33 ± 57.74,6.67 ± 11.55,66.67 ± 57.74
Unknown-3315,24.70 ± 28.52,30.18 ± 35.23,27.11 ± 31.39,1075.00 ± 1755.70
Unknown-3316,45.83 ± 41.67,75.00 ± 50.00,54.17 ± 41.67,125.00 ± 50.00
Unknown-3318,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-3324,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 141.42
Unknown-3325,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
Unknown-3327,6.13 ± 7.17,25.00 ± 25.00,8.81 ± 9.28,200.00 ± 122.47
Unknown-3328,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 173.21
Unknown-3329,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,33.33 ± 57.74
Unknown-3330,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-3331,20.00 ± 44.72,20.00 ± 44.72,20.00 ± 44.72,120.00 ± 44.72
Unknown-3333,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 83.67
Unknown-3334,0.00,0.00,0.00,100.00
Unknown-3335,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 81.65
Unknown-3336,8.33 ± 16.67,8.33 ± 16.67,8.33 ± 16.67,225.00 ± 95.74
Unknown-3337,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 125.83
Unknown-3339,10.00 ± 22.36,6.67 ± 14.91,8.00 ± 17.89,100.00 ± 141.42
Unknown-3340,33.33 ± 57.74,33.33 ± 57.74,33.33 ± 57.74,100.00 ± 100.00
Unknown-3341,11.11 ± 19.25,11.11 ± 19.25,11.11 ± 19.25,133.33 ± 152.75
Unknown-3342,50.00 ± 50.00,55.56 ± 50.92,52.38 ± 50.17,166.67 ± 115.47
Unknown-3343,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-3345,33.33 ± 57.74,33.33 ± 57.74,33.33 ± 57.74,133.33 ± 57.74
Unknown-3346,2.86 ± 6.39,6.67 ± 14.91,4.00 ± 8.94,120.00 ± 130.38
Unknown-3348,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 89.44
Unknown-3349,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,33.33 ± 57.74
Unknown-3350,41.67 ± 28.87,58.33 ± 41.94,47.62 ± 32.06,175.00 ± 150.00
Unknown-3351,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-3352,13.31 ± 13.10,40.00 ± 41.83,19.68 ± 19.39,140.00 ± 134.16
Unknown-3354,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-3355,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 54.77
Unknown-3357,4.17 ± 8.33,12.50 ± 25.00,6.25 ± 12.50,100.00 ± 81.65
Unknown-3358,12.50 ± 25.00,2.50 ± 5.00,4.17 ± 8.33,750.00 ± 624.50
Unknown-3359,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 83.67
Unknown-3360,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
Unknown-3361,6.19 ± 8.52,11.67 ± 16.24,8.08 ± 11.16,180.00 ± 164.32
Unknown-3362,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
Unknown-3364,10.00 ± 14.14,50.00 ± 70.71,16.67 ± 23.57,100.00 ± 0.00
Unknown-3366,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-3368,31.25 ± 47.32,50.00 ± 57.74,35.00 ± 47.26,75.00 ± 50.00
Unknown-3369,13.33 ± 16.33,50.00 ± 57.74,20.83 ± 25.00,75.00 ± 95.74
Unknown-3370,5.00 ± 10.00,8.33 ± 16.67,6.25 ± 12.50,350.00 ± 251.66
Unknown-3371,7.69 ± 17.20,16.67 ± 37.27,10.53 ± 23.54,220.00 ± 228.04
Unknown-3372,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 141.42
Unknown-3373,6.67 ± 14.91,4.00 ± 8.94,5.00 ± 11.18,180.00 ± 192.35
Unknown-3374,7.25 ± 12.55,27.78 ± 48.11,11.49 ± 19.91,233.33 ± 321.46
Unknown-3375,4.00 ± 8.94,13.33 ± 29.81,6.15 ± 13.76,180.00 ± 130.38
Unknown-3377,58.33 ± 52.04,41.67 ± 52.04,41.90 ± 42.89,300.00 ± 100.00
Unknown-3379,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 282.84
Unknown-3381,21.19 ± 19.15,33.93 ± 32.67,23.99 ± 23.16,575.00 ± 250.00
Unknown-3384,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,33.33 ± 57.74
Unknown-3385,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,225.00 ± 221.74
Unknown-3386,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,40.00 ± 54.77
Unknown-3387,10.00 ± 22.36,20.00 ± 44.72,13.33 ± 29.81,100.00 ± 0.00
Unknown-3388,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,460.00 ± 391.15
Unknown-3390,13.33 ± 29.81,13.33 ± 29.81,13.33 ± 29.81,140.00 ± 134.16
Unknown-3391,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 81.65
Unknown-3392,4.44 ± 9.94,8.00 ± 17.89,5.71 ± 12.78,260.00 ± 207.36
Unknown-3393,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 435.89
Unknown-3396,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 125.83
Unknown-3398,3.33 ± 7.45,10.00 ± 22.36,5.00 ± 11.18,480.00 ± 465.83
Unknown-3400,8.33 ± 14.43,20.00 ± 34.64,11.76 ± 20.38,233.33 ± 251.66
Unknown-3401,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 264.58
Unknown-3402,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
Unknown-3403,8.33 ± 16.67,25.00 ± 50.00,12.50 ± 25.00,100.00 ± 141.42
Unknown-3404,11.11 ± 19.25,33.33 ± 57.74,16.67 ± 28.87,66.67 ± 57.74
Unknown-3406,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-3408,6.67 ± 11.55,33.33 ± 57.74,11.11 ± 19.25,66.67 ± 57.74
Unknown-3412,25.00 ± 50.00,12.50 ± 25.00,16.67 ± 33.33,75.00 ± 95.74
Unknown-3413,12.50 ± 25.00,21.15 ± 42.31,15.71 ± 31.43,375.00 ± 618.47
Unknown-3421,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 57.74
Unknown-3423,76.67 ± 32.49,85.00 ± 33.54,79.05 ± 31.69,220.00 ± 130.38
Unknown-3424,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,33.33 ± 57.74
Unknown-3426,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-3430,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,60.00 ± 54.77
Unknown-3435,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,525.00 ± 784.75
Unknown-3436,37.50 ± 47.87,50.00 ± 57.74,41.67 ± 50.00,100.00 ± 115.47
Unknown-3439,10.00 ± 20.00,9.09 ± 18.18,9.52 ± 19.05,400.00 ± 522.81
Unknown-3440,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,60.00 ± 54.77
Unknown-3441,40.00 ± 22.36,36.67 ± 21.73,38.00 ± 21.68,200.00 ± 70.71
Unknown-3443,33.33 ± 57.74,33.33 ± 57.74,33.33 ± 57.74,66.67 ± 57.74
Unknown-3444,3.70 ± 6.42,33.33 ± 57.74,6.67 ± 11.55,133.33 ± 57.74
Unknown-3445,100.00,100.00,100.00,100.00
Unknown-3448,31.57 ± 19.86,59.33 ± 43.99,38.39 ± 24.60,300.00 ± 406.20
Unknown-3449,16.67 ± 13.61,27.08 ± 20.83,20.56 ± 16.37,275.00 ± 95.74
Unknown-3452,2.86 ± 6.39,10.00 ± 22.36,4.44 ± 9.94,220.00 ± 164.32
Unknown-3454,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-3457,2.78 ± 5.56,25.00 ± 50.00,5.00 ± 10.00,275.00 ± 287.23
Unknown-3458,20.00 ± 28.28,50.00 ± 70.71,28.57 ± 40.41,200.00 ± 0.00
Unknown-3460,50.00 ± 70.71,25.00 ± 35.36,33.33 ± 47.14,150.00 ± 70.71
Unknown-3461,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,60.00 ± 89.44
Unknown-3464,0.00,0.00,0.00,100.00
Unknown-3465,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 173.21
Unknown-3467,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,20.00 ± 44.72
Unknown-3470,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 212.13
Unknown-3474,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,350.00 ± 494.97
Unknown-3475,10.00 ± 22.36,10.00 ± 22.36,10.00 ± 22.36,120.00 ± 83.67
Unknown-3476,14.67 ± 20.22,33.33 ± 47.14,20.00 ± 27.39,200.00 ± 141.42
Unknown-3477,9.52 ± 16.03,37.50 ± 47.87,12.27 ± 18.98,100.00 ± 81.65
