Category,precision,recall,f1-score,support
Unknown-115,15.59 ± 6.32,15.46 ± 7.62,15.29 ± 6.43,1840.00 ± 654.22
Unknown-116,6.67 ± 14.91,10.00 ± 22.36,8.00 ± 17.89,160.00 ± 114.02
Unknown-117,53.49 ± 2.38,55.89 ± 5.21,54.53 ± 2.80,31160.00 ± 4368.98
Unknown-118,7.14 ± 14.29,10.00 ± 20.00,8.33 ± 16.67,325.00 ± 263.00
Unknown-119,31.53 ± 6.79,36.95 ± 8.25,34.02 ± 7.44,9600.00 ± 1776.23
Unknown-120,73.76 ± 2.56,45.54 ± 1.35,56.30 ± 1.69,70240.00 ± 1190.80
Unknown-121,16.06 ± 16.23,22.17 ± 20.37,18.38 ± 17.70,1000.00 ± 463.68
Unknown-122,26.31 ± 32.99,30.29 ± 33.60,27.30 ± 31.65,400.00 ± 264.58
Unknown-123,53.30 ± 6.26,52.50 ± 3.70,52.80 ± 4.50,9160.00 ± 2294.12
Unknown-124,44.91 ± 14.40,48.82 ± 18.12,45.69 ± 14.34,3100.00 ± 1869.49
Unknown-125,25.53 ± 6.04,27.61 ± 5.83,26.34 ± 5.25,2260.00 ± 1154.56
Unknown-126,8.33 ± 16.67,25.00 ± 50.00,12.50 ± 25.00,175.00 ± 95.74
Unknown-127,23.44 ± 29.68,14.71 ± 9.36,16.19 ± 13.54,840.00 ± 439.32
Unknown-128,33.33 ± 23.57,35.00 ± 25.28,33.71 ± 23.92,280.00 ± 83.67
Unknown-129,21.45 ± 9.10,25.00 ± 10.62,22.05 ± 8.20,780.00 ± 109.54
Unknown-130,33.33 ± 57.74,33.33 ± 57.74,33.33 ± 57.74,100.00 ± 0.00
Unknown-131,28.06 ± 21.39,38.60 ± 22.38,30.64 ± 21.18,880.00 ± 465.83
Unknown-132,16.50 ± 20.59,12.89 ± 14.18,14.35 ± 16.65,500.00 ± 234.52
Unknown-133,21.73 ± 24.62,16.57 ± 17.66,18.51 ± 20.15,780.00 ± 420.71
Unknown-134,20.50 ± 19.56,25.45 ± 30.64,19.97 ± 18.41,620.00 ± 349.28
Unknown-135,28.30 ± 13.23,28.75 ± 12.78,28.50 ± 13.01,5660.00 ± 753.66
Unknown-136,17.71 ± 12.46,21.94 ± 14.78,19.58 ± 13.50,2380.00 ± 476.45
Unknown-137,36.19 ± 23.70,48.70 ± 35.48,37.86 ± 21.79,860.00 ± 965.92
Unknown-138,15.00 ± 22.36,7.22 ± 11.04,9.74 ± 14.77,400.00 ± 300.00
Unknown-139,45.32 ± 16.79,45.19 ± 21.46,44.67 ± 18.13,1260.00 ± 844.39
Unknown-140,27.62 ± 37.86,30.00 ± 41.50,28.72 ± 39.49,300.00 ± 187.08
Unknown-141,30.00 ± 47.61,30.00 ± 47.61,30.00 ± 47.61,200.00 ± 216.02
Unknown-142,25.00 ± 50.00,25.00 ± 50.00,25.00 ± 50.00,375.00 ± 359.40
Unknown-143,42.72 ± 10.82,50.86 ± 10.19,46.23 ± 10.14,2200.00 ± 484.77
Unknown-144,15.00 ± 22.36,14.67 ± 20.22,14.60 ± 20.77,400.00 ± 200.00
Unknown-145,6.47 ± 14.47,11.00 ± 24.60,8.15 ± 18.22,520.00 ± 828.85
Unknown-146,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 221.74
Unknown-147,44.33 ± 8.28,46.82 ± 9.02,44.97 ± 6.16,1740.00 ± 694.98
Unknown-148,27.33 ± 16.16,29.06 ± 21.93,27.73 ± 19.14,2880.00 ± 1940.88
Unknown-149,28.00 ± 43.82,15.56 ± 21.66,18.42 ± 25.38,440.00 ± 343.51
