Category,precision,recall,f1-score,support
Unknown-86,69.88 ± 4.81,74.02 ± 8.40,71.83 ± 6.33,9140.00 ± 4386.68
Unknown-87,20.12 ± 15.67,21.26 ± 9.43,20.15 ± 12.76,2200.00 ± 1518.22
Unknown-89,25.25 ± 15.18,23.69 ± 14.55,23.85 ± 13.50,2780.00 ± 576.19
Unknown-90,36.67 ± 38.01,26.19 ± 20.88,22.95 ± 13.95,820.00 ± 164.32
Unknown-91,17.27 ± 17.02,36.51 ± 37.54,22.95 ± 22.52,720.00 ± 334.66
Unknown-92,60.12 ± 8.39,73.23 ± 15.57,65.50 ± 10.41,1120.00 ± 192.35
Unknown-94,52.11 ± 16.19,55.19 ± 19.61,53.08 ± 17.49,2540.00 ± 1301.15
Unknown-95,24.48 ± 14.83,30.17 ± 20.40,26.34 ± 16.37,2180.00 ± 785.49
Unknown-96,59.45 ± 6.57,57.94 ± 6.22,58.54 ± 5.56,14320.00 ± 3917.52
Unknown-97,19.98 ± 13.93,18.37 ± 8.56,17.48 ± 11.08,1220.00 ± 506.95
Unknown-98,29.67 ± 18.94,23.71 ± 14.62,26.27 ± 16.41,420.00 ± 216.79
Unknown-100,24.09 ± 8.32,22.78 ± 8.60,23.40 ± 8.43,3380.00 ± 622.09
Unknown-101,14.75 ± 12.69,17.87 ± 15.08,15.90 ± 13.23,1480.00 ± 798.12
Unknown-102,34.85 ± 2.63,36.32 ± 8.03,35.38 ± 4.91,4240.00 ± 2056.21
Unknown-103,43.86 ± 24.31,41.93 ± 22.28,42.36 ± 23.12,1720.00 ± 683.37
Unknown-104,2.86 ± 6.39,2.86 ± 6.39,2.86 ± 6.39,540.00 ± 114.02
Unknown-105,16.94 ± 3.33,18.16 ± 5.68,17.47 ± 4.37,5360.00 ± 1006.48
Unknown-106,16.35 ± 12.46,22.10 ± 13.68,18.01 ± 11.92,1460.00 ± 568.33
Unknown-107,13.32 ± 9.64,11.78 ± 11.02,11.62 ± 8.41,1380.00 ± 396.23
Unknown-108,25.65 ± 18.50,23.73 ± 16.57,24.58 ± 17.41,2160.00 ± 1628.80
Unknown-109,12.96 ± 11.94,10.92 ± 11.19,11.41 ± 10.91,1660.00 ± 304.96
Unknown-110,21.86 ± 7.15,23.44 ± 10.41,22.50 ± 8.54,5320.00 ± 1382.75
Unknown-111,48.64 ± 8.67,50.33 ± 9.65,49.44 ± 9.04,7440.00 ± 1818.79
Unknown-112,50.40 ± 8.89,47.70 ± 10.36,48.90 ± 9.36,3700.00 ± 1772.00
Unknown-113,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 230.22
Unknown-114,21.33 ± 14.88,26.57 ± 20.04,23.41 ± 16.76,580.00 ± 294.96
Unknown-115,16.32 ± 5.97,15.46 ± 7.62,15.60 ± 6.25,1840.00 ± 654.22
Unknown-116,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,160.00 ± 114.02
Unknown-117,53.01 ± 2.12,55.61 ± 5.15,54.15 ± 2.66,31160.00 ± 4368.98
Unknown-118,7.14 ± 14.29,10.00 ± 20.00,8.33 ± 16.67,325.00 ± 263.00
Unknown-119,31.56 ± 7.26,36.16 ± 7.31,33.70 ± 7.30,9600.00 ± 1776.23
Unknown-120,72.72 ± 3.13,45.22 ± 1.34,55.75 ± 1.85,70240.00 ± 1190.80
Unknown-121,14.62 ± 15.35,22.17 ± 20.37,17.22 ± 17.08,1000.00 ± 463.68
Unknown-122,16.89 ± 21.74,30.29 ± 33.60,20.91 ± 24.95,400.00 ± 264.58
Unknown-123,52.69 ± 6.18,52.18 ± 3.78,52.37 ± 4.66,9160.00 ± 2294.12
Unknown-124,45.35 ± 15.10,48.49 ± 17.49,45.81 ± 14.58,3100.00 ± 1869.49
Unknown-125,25.53 ± 6.04,27.61 ± 5.83,26.34 ± 5.25,2260.00 ± 1154.56
Unknown-126,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 114.02
Unknown-127,8.44 ± 8.52,9.71 ± 9.17,8.69 ± 8.07,840.00 ± 439.32
