Category,precision,recall,f1-score,support
Unknown-2759,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 141.42
Unknown-2761,6.25 ± 12.50,8.33 ± 16.67,7.14 ± 14.29,150.00 ± 129.10
Unknown-2762,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 115.47
Unknown-2763,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-2764,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 95.74
Unknown-2765,32.14 ± 47.20,41.67 ± 50.00,35.00 ± 47.26,300.00 ± 216.02
Unknown-2767,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 151.66
Unknown-2770,25.00 ± 31.91,20.83 ± 31.55,22.22 ± 31.43,250.00 ± 264.58
Unknown-2771,12.50 ± 27.95,9.09 ± 20.33,10.53 ± 23.54,260.00 ± 472.23
Unknown-2774,27.08 ± 31.46,30.65 ± 47.45,24.81 ± 31.85,800.00 ± 1534.06
Unknown-2776,8.10 ± 18.10,6.80 ± 15.21,7.39 ± 16.53,1100.00 ± 2180.60
Unknown-2777,8.89 ± 15.40,13.33 ± 23.09,10.67 ± 18.48,433.33 ± 493.29
Unknown-2778,4.00 ± 8.94,2.50 ± 5.59,3.08 ± 6.88,200.00 ± 339.12
Unknown-2780,20.59 ± 44.41,26.67 ± 43.46,11.14 ± 21.86,160.00 ± 251.00
Unknown-2781,30.54 ± 14.63,28.46 ± 11.61,28.57 ± 11.39,1140.00 ± 789.30
Unknown-2783,41.07 ± 44.56,62.50 ± 47.87,47.22 ± 44.79,200.00 ± 141.42
Unknown-2784,31.25 ± 37.50,26.10 ± 35.42,28.01 ± 35.86,550.00 ± 785.28
Unknown-2785,4.44 ± 9.94,8.00 ± 17.89,5.71 ± 12.78,200.00 ± 200.00
Unknown-2786,31.67 ± 40.99,33.33 ± 31.18,28.89 ± 28.97,240.00 ± 114.02
Unknown-2787,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 150.00
Unknown-2788,24.90 ± 17.77,40.48 ± 33.29,28.75 ± 19.70,500.00 ± 469.04
Unknown-2791,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-2792,14.76 ± 22.23,24.29 ± 34.11,17.14 ± 24.01,260.00 ± 251.00
Unknown-2793,0.00,0.00,0.00,200.00
Unknown-2795,26.67 ± 27.89,26.67 ± 25.28,24.89 ± 22.79,280.00 ± 228.04
Unknown-2796,10.00 ± 22.36,13.33 ± 29.81,11.43 ± 25.56,400.00 ± 565.69
Unknown-2797,13.67 ± 15.02,60.00 ± 54.77,21.64 ± 22.86,100.00 ± 70.71
Unknown-2798,2.86 ± 6.39,6.67 ± 14.91,4.00 ± 8.94,180.00 ± 109.54
Unknown-2799,6.67 ± 14.91,20.00 ± 44.72,10.00 ± 22.36,100.00 ± 122.47
Unknown-2800,12.50 ± 25.00,12.50 ± 25.00,12.50 ± 25.00,100.00 ± 115.47
Unknown-2801,4.17 ± 8.33,25.00 ± 50.00,7.14 ± 14.29,50.00 ± 57.74
Unknown-2804,13.33 ± 29.81,5.00 ± 11.18,7.27 ± 16.26,200.00 ± 339.12
Unknown-2805,8.33 ± 16.67,25.00 ± 50.00,12.50 ± 25.00,100.00 ± 0.00
Unknown-2807,33.33 ± 57.74,16.67 ± 28.87,22.22 ± 38.49,100.00 ± 100.00
Unknown-2808,2.00 ± 4.47,4.00 ± 8.94,2.67 ± 5.96,220.00 ± 192.35
Unknown-2809,8.00 ± 17.89,13.33 ± 29.81,10.00 ± 22.36,320.00 ± 178.89
Unknown-2812,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-2815,66.67 ± 57.74,66.67 ± 57.74,66.67 ± 57.74,100.00 ± 100.00
Unknown-2816,26.22 ± 20.53,40.95 ± 36.67,29.09 ± 21.67,460.00 ± 230.22
Unknown-2818,12.50 ± 25.00,25.00 ± 50.00,16.67 ± 33.33,150.00 ± 57.74
Unknown-2819,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-2820,0.00,0.00,0.00,100.00
Unknown-2821,12.50 ± 25.00,12.50 ± 25.00,12.50 ± 25.00,150.00 ± 57.74
Unknown-2822,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 0.00
Unknown-2824,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 350.00
Unknown-2825,25.00 ± 50.00,25.00 ± 50.00,25.00 ± 50.00,75.00 ± 95.74
Unknown-2828,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 54.77
Unknown-2830,13.25 ± 11.91,44.44 ± 50.92,18.61 ± 16.13,433.33 ± 416.33
Unknown-2831,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 173.21
Unknown-2832,20.00 ± 27.39,18.57 ± 25.56,19.23 ± 26.37,220.00 ± 286.36
Unknown-2833,12.50 ± 25.00,12.50 ± 25.00,12.50 ± 25.00,750.00 ± 1034.41
Unknown-2836,23.75 ± 35.44,27.50 ± 32.02,23.81 ± 31.59,225.00 ± 206.16
Unknown-2838,0.00,0.00,0.00,200.00
Unknown-2839,16.67 ± 28.87,16.67 ± 28.87,16.67 ± 28.87,133.33 ± 115.47
Unknown-2840,14.00 ± 21.91,23.33 ± 32.49,17.14 ± 25.56,240.00 ± 167.33
Unknown-2841,17.36 ± 22.27,39.58 ± 42.70,18.13 ± 16.75,200.00 ± 182.57
Unknown-2842,3.81 ± 8.52,6.15 ± 13.76,4.71 ± 10.52,400.00 ± 519.62
Unknown-2844,25.00 ± 43.30,30.00 ± 44.72,26.67 ± 43.46,120.00 ± 44.72
Unknown-2846,6.67 ± 14.91,14.29 ± 31.94,9.09 ± 20.33,200.00 ± 291.55
Unknown-2847,16.67 ± 15.59,20.71 ± 21.19,18.33 ± 17.72,320.00 ± 238.75
Unknown-2849,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 100.00
Unknown-2850,25.45 ± 27.66,35.00 ± 33.54,27.43 ± 26.00,280.00 ± 130.38
Unknown-2851,10.00 ± 22.36,10.00 ± 22.36,10.00 ± 22.36,160.00 ± 54.77
Unknown-2853,50.00 ± 70.71,50.00 ± 70.71,50.00 ± 70.71,50.00 ± 70.71
Unknown-2854,36.67 ± 32.15,44.05 ± 39.18,40.00 ± 35.28,433.33 ± 251.66
Unknown-2855,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-2856,6.25 ± 12.50,12.50 ± 25.00,8.33 ± 16.67,175.00 ± 95.74
Unknown-2857,18.89 ± 22.08,40.00 ± 41.83,24.97 ± 28.54,160.00 ± 151.66
Unknown-2858,0.00,0.00,0.00,100.00
Unknown-2862,8.33 ± 16.67,12.50 ± 25.00,10.00 ± 20.00,75.00 ± 95.74
Unknown-2863,5.00 ± 10.00,6.25 ± 12.50,5.56 ± 11.11,150.00 ± 173.21
Unknown-2864,20.00 ± 44.72,6.67 ± 14.91,10.00 ± 22.36,180.00 ± 83.67
Unknown-2865,24.44 ± 21.43,50.00 ± 50.00,32.38 ± 29.32,166.67 ± 57.74
Unknown-2866,30.00 ± 44.72,40.00 ± 54.77,33.33 ± 47.14,80.00 ± 83.67
Unknown-2867,15.62 ± 23.66,13.33 ± 16.33,13.85 ± 18.88,300.00 ± 163.30
Unknown-2870,26.67 ± 18.07,46.67 ± 49.16,27.00 ± 19.24,360.00 ± 230.22
Unknown-2871,12.50 ± 14.43,20.83 ± 25.00,15.48 ± 17.98,200.00 ± 81.65
Unknown-2873,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,225.00 ± 250.00
Unknown-2874,20.00 ± 44.72,20.00 ± 44.72,20.00 ± 44.72,140.00 ± 151.66
Unknown-2876,43.75 ± 51.54,40.00 ± 48.99,41.67 ± 50.00,200.00 ± 200.00
Unknown-2877,10.87 ± 21.74,10.00 ± 20.00,10.42 ± 20.83,1450.00 ± 2378.37
Unknown-2879,1.54 ± 3.44,10.00 ± 22.36,2.67 ± 5.96,240.00 ± 114.02
Unknown-2881,21.67 ± 33.12,24.62 ± 43.31,17.06 ± 23.93,560.00 ± 1141.49
Unknown-2882,3.33 ± 7.45,20.00 ± 44.72,5.71 ± 12.78,480.00 ± 496.99
Unknown-2883,50.00 ± 37.27,46.07 ± 35.81,45.40 ± 30.74,520.00 ± 294.96
Unknown-2885,20.83 ± 29.46,41.67 ± 58.93,27.78 ± 39.28,450.00 ± 212.13
Unknown-2887,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 95.74
Unknown-2888,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,80.00 ± 83.67
Unknown-2890,21.43 ± 25.75,23.33 ± 25.17,22.22 ± 25.46,266.67 ± 208.17
Unknown-2892,27.08 ± 26.68,62.50 ± 47.87,33.01 ± 30.67,125.00 ± 50.00
Unknown-2894,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 50.00
Unknown-2896,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-2897,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,33.33 ± 57.74
Unknown-2898,20.00 ± 44.72,5.00 ± 11.18,8.00 ± 17.89,300.00 ± 291.55
Unknown-2902,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-2903,87.50 ± 21.65,70.83 ± 26.02,76.39 ± 20.55,400.00 ± 346.41
Unknown-2904,1.79 ± 3.57,4.17 ± 8.33,2.50 ± 5.00,250.00 ± 251.66
