Category,precision,recall,f1-score,support
Unknown-261,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,375.00 ± 419.32
Unknown-262,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 100.00
Unknown-263,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,280.00 ± 327.11
Unknown-264,8.75 ± 10.46,8.96 ± 9.28,8.76 ± 9.76,1520.00 ± 683.37
Unknown-265,24.00 ± 43.36,40.00 ± 54.77,26.67 ± 43.46,100.00 ± 122.47
Unknown-266,33.94 ± 11.86,36.10 ± 13.58,34.27 ± 10.79,720.00 ± 148.32
Unknown-268,16.02 ± 11.38,15.04 ± 7.24,14.89 ± 8.47,1180.00 ± 502.00
Unknown-269,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-270,6.67 ± 14.91,20.00 ± 44.72,10.00 ± 22.36,280.00 ± 178.89
Unknown-271,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-272,31.40 ± 43.65,23.53 ± 25.22,25.33 ± 30.97,660.00 ± 661.82
Unknown-273,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,560.00 ± 364.69
Unknown-274,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,540.00 ± 357.77
Unknown-275,31.35 ± 11.54,39.56 ± 12.88,34.87 ± 11.97,800.00 ± 620.48
Unknown-276,1.82 ± 4.07,2.00 ± 4.47,1.90 ± 4.26,680.00 ± 580.52
Unknown-277,3.33 ± 7.45,3.64 ± 8.13,3.48 ± 7.78,520.00 ± 420.71
Unknown-279,1.25 ± 2.80,6.67 ± 14.91,2.11 ± 4.71,240.00 ± 89.44
Unknown-280,13.52 ± 8.18,18.45 ± 11.63,15.32 ± 9.12,1120.00 ± 622.09
Unknown-281,17.02 ± 17.84,25.33 ± 28.15,20.31 ± 21.82,620.00 ± 531.04
Unknown-282,3.76 ± 5.29,3.83 ± 5.64,3.78 ± 5.43,640.00 ± 541.29
Unknown-283,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,40.00 ± 54.77
Unknown-284,39.42 ± 15.28,40.80 ± 16.18,39.65 ± 15.00,2140.00 ± 550.45
Unknown-285,11.26 ± 11.91,12.08 ± 11.12,11.15 ± 10.85,600.00 ± 387.30
Unknown-286,2.14 ± 3.37,15.24 ± 21.14,3.72 ± 5.74,800.00 ± 418.33
Unknown-287,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-288,17.21 ± 16.89,28.00 ± 31.34,21.11 ± 21.66,400.00 ± 273.86
Unknown-289,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-290,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 114.02
Unknown-291,11.67 ± 16.24,10.00 ± 14.91,10.67 ± 15.35,340.00 ± 181.66
Unknown-292,58.33 ± 38.19,29.67 ± 9.01,35.94 ± 10.90,420.00 ± 130.38
Unknown-293,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 277.49
Unknown-294,7.62 ± 10.57,20.00 ± 27.39,11.00 ± 15.17,360.00 ± 251.00
Unknown-296,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,600.00 ± 367.42
Unknown-297,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,640.00 ± 638.75
Unknown-298,10.00 ± 22.36,20.00 ± 44.72,13.33 ± 29.81,120.00 ± 109.54
Unknown-299,23.48 ± 12.79,19.99 ± 11.11,21.14 ± 11.23,1340.00 ± 219.09
Unknown-300,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,225.00 ± 386.22
Unknown-301,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 122.47
Unknown-303,16.20 ± 7.57,23.96 ± 14.50,17.97 ± 8.77,1180.00 ± 486.83
Unknown-304,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 270.19
Unknown-305,27.89 ± 17.07,30.76 ± 20.35,28.65 ± 17.29,600.00 ± 324.04
Unknown-306,3.33 ± 7.45,4.76 ± 10.65,3.92 ± 8.77,900.00 ± 696.42
Unknown-308,18.07 ± 12.66,19.55 ± 12.55,18.70 ± 12.48,1320.00 ± 637.97
Unknown-309,24.50 ± 23.15,35.94 ± 38.21,26.12 ± 21.33,520.00 ± 334.66
Unknown-310,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,60.00 ± 54.77
Unknown-311,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,275.00 ± 150.00
Unknown-312,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,80.00 ± 83.67
Unknown-313,2.22 ± 4.97,4.00 ± 8.94,2.86 ± 6.39,480.00 ± 130.38
Unknown-315,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 100.00
Unknown-316,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,940.00 ± 1026.16
Unknown-318,29.09 ± 8.09,37.67 ± 21.78,31.50 ± 11.48,700.00 ± 273.86
Unknown-319,23.34 ± 15.93,26.67 ± 18.37,24.64 ± 16.66,1080.00 ± 708.52
Unknown-320,7.50 ± 11.18,4.50 ± 6.22,5.56 ± 7.86,540.00 ± 384.71
Unknown-323,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 223.61
Unknown-324,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,180.00 ± 178.89
Unknown-326,26.63 ± 8.50,30.31 ± 8.77,28.21 ± 8.53,3180.00 ± 1441.18
Unknown-327,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,266.67 ± 288.68
Unknown-328,4.00 ± 8.94,6.67 ± 14.91,5.00 ± 11.18,420.00 ± 327.11
Unknown-329,14.85 ± 9.91,17.32 ± 12.78,15.53 ± 10.58,1000.00 ± 474.34
Unknown-331,46.05 ± 23.89,55.33 ± 14.06,47.76 ± 16.04,440.00 ± 219.09
Unknown-333,23.10 ± 28.14,25.56 ± 24.09,22.67 ± 25.54,600.00 ± 387.30
Unknown-334,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,666.67 ± 896.29
Unknown-335,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 54.77
Unknown-337,15.00 ± 22.36,13.33 ± 18.26,13.71 ± 19.21,200.00 ± 100.00
Unknown-339,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,180.00 ± 109.54
Unknown-340,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 178.89
Unknown-341,35.65 ± 15.87,41.25 ± 23.19,37.85 ± 18.31,1800.00 ± 640.31
Unknown-342,22.78 ± 8.09,24.73 ± 6.00,23.38 ± 7.19,1660.00 ± 554.98
Unknown-343,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 81.65
Unknown-344,2.86 ± 6.39,2.50 ± 5.59,2.67 ± 5.96,620.00 ± 204.94
Unknown-345,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 70.71
Unknown-346,12.50 ± 15.96,17.71 ± 20.52,14.38 ± 17.44,325.00 ± 340.34
Unknown-347,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,680.00 ± 875.79
Unknown-348,3.33 ± 7.45,5.00 ± 11.18,4.00 ± 8.94,380.00 ± 303.32
Unknown-349,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 0.00
Unknown-350,41.62 ± 35.87,39.74 ± 34.02,40.17 ± 33.91,1920.00 ± 1192.48
Unknown-351,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 288.68
Unknown-352,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 167.33
Unknown-353,24.31 ± 22.27,20.96 ± 20.52,22.29 ± 21.03,1120.00 ± 563.03
Unknown-354,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 164.32
